WMT,2014-09-25,5,2014-09-18, 10000.000000,10013.1371519
ADT,2014-09-25,5,2014-09-18, 10000.000000,10562.6236924
TIF,2014-09-25,5,2014-09-18, 10000.000000,10256.4365576
JNJ,2014-09-25,5,2014-09-18, 10000.000000,10023.3426704
ESRX,2014-09-25,5,2014-09-18, 10000.000000,10363.9899972
AMD,2014-09-25,5,2014-09-18, 10000.000000,10688.7052342
MRO,2014-09-25,5,2014-09-18, 10000.000000,10312.0902177
AAPL,2014-09-25,5,2014-09-18, 10000.000000,10400.5313171
EW,2014-09-25,5,2014-09-18, 10000.000000,10065.2703361
AIZ,2014-09-25,5,2014-09-18, 10000.000000,10146.5597038
PWR,2014-09-25,5,2014-09-18, 10000.000000,10229.1551629
CLX,2014-09-25,5,2014-09-18, 10000.000000,9449.23270969
CSC,2014-09-25,5,2014-09-18, 10000.000000,10453.823062
PM,2014-09-25,5,2014-09-18, 10000.000000,10121.8637993
ADI,2014-09-25,5,2014-09-18, 10000.000000,10130.9427881
K,2014-09-25,5,2014-09-18, 10000.000000,10196.1738003
GLW,2014-09-25,5,2014-09-18, 10000.000000,10474.5078243
FLS,2014-09-25,5,2014-09-18, 10000.000000,10411.9057695
WHR,2014-09-25,5,2014-09-18, 10000.000000,10223.21132
CAM,2014-09-25,5,2014-09-18, 10000.000000,10442.5695678
CINF,2014-09-25,5,2014-09-18, 10000.000000,10268.2563338
HST,2014-09-25,5,2014-09-18, 10000.000000,10343.8530382
GPS,2014-09-25,5,2014-09-18, 10000.000000,10383.7044055
WIN,2014-09-25,5,2014-09-18, 10000.000000,10153.7070524
MKC,2014-09-25,5,2014-09-18, 10000.000000,10358.4392015
NSC,2014-09-25,5,2014-09-18, 10000.000000,10214.0255009
SJM,2014-09-25,5,2014-09-18, 10000.000000,10203.6245164
V,2014-09-25,5,2014-09-18, 10000.000000,10271.9377343
CMA,2014-09-25,5,2014-09-18, 10000.000000,10394.1082803
HD,2014-09-25,5,2014-09-18, 10000.000000,10020.6746464
ABT,2014-09-25,5,2014-09-18, 10000.000000,10402.3809524
CMCSA,2014-09-25,5,2014-09-18, 10000.000000,10539.4883204
BBY,2014-09-25,5,2014-09-18, 10000.000000,10511.1244738
KR,2014-09-25,5,2014-09-18, 10000.000000,10154.7688141
PCP,2014-09-25,5,2014-09-18, 10000.000000,10413.9617233
NE,2014-09-25,5,2014-09-18, 10000.000000,10680.6282723
LEG,2014-09-25,5,2014-09-18, 10000.000000,10000.0
TAP,2014-09-25,5,2014-09-18, 10000.000000,10268.4294872
IP,2014-09-25,5,2014-09-18, 10000.000000,10240.3343783
INTU,2014-09-25,5,2014-09-18, 10000.000000,10095.462581
IPG,2014-09-25,5,2014-09-18, 10000.000000,10330.7607497
EIX,2014-09-25,5,2014-09-18, 10000.000000,10301.6779722
JCI,2014-09-25,5,2014-09-18, 10000.000000,10423.2922732
CTL,2014-09-25,5,2014-09-18, 10000.000000,10152.8438988
APOL,2014-09-25,5,2014-09-18, 10000.000000,10631.7473011
PCAR,2014-09-25,5,2014-09-18, 10000.000000,10407.0673826
SLM,2014-09-25,5,2014-09-18, 10000.000000,10578.7037037
XOM,2014-09-25,5,2014-09-18, 10000.000000,10250.397878
WFC,2014-09-25,5,2014-09-18, 10000.000000,10355.9618751
HAR,2014-09-25,5,2014-09-18, 10000.000000,10549.6108949
HRS,2014-09-25,5,2014-09-18, 10000.000000,10441.4387634
NKE,2014-09-25,5,2014-09-18, 10000.000000,10278.369906
GIS,2014-09-25,5,2014-09-18, 10000.000000,10219.4732642
TWC,2014-09-25,5,2014-09-18, 10000.000000,10641.9410745
MET,2014-09-25,5,2014-09-18, 10000.000000,10330.8687616
DHI,2014-09-25,5,2014-09-18, 10000.000000,10648.7265738
GILD,2014-09-25,5,2014-09-18, 10000.000000,9868.64169927
CAG,2014-09-25,5,2014-09-18, 10000.000000,10191.7808219
WPX,2014-09-25,5,2014-09-18, 10000.000000,10684.2989085
PXD,2014-09-25,5,2014-09-18, 10000.000000,10383.6868868
ZION,2014-09-25,5,2014-09-18, 10000.000000,10328.4923928
DRI,2014-09-25,5,2014-09-18, 10000.000000,9818.64274571
TSO,2014-09-25,5,2014-09-18, 10000.000000,10340.4111898
OXY,2014-09-25,5,2014-09-18, 10000.000000,10113.6715924
PCG,2014-09-25,5,2014-09-18, 10000.000000,10273.0528201
